name,email,phone,address,gender,qualification,experience_years,rating,fees_inr,success_rate,position,img_url,legal_issues
Logan Nayar,sanayataneja@example.com,5814446692,"H.No. 146, Narasimhan Marg, Raurkela Industrial Township 913717",female,PhD in Law,16,4.48,7571,0.8,Legal Advisor,https://randomuser.me/api/portraits/women/42.jpg,consumer_rights|labor_rights_violation
Daksha Badami,ommaya@example.com,7910305820,"H.No. 61, Nath Nagar, Firozabad-764895",male,PhD in Law,7,4.34,3496,0.62,Partner,https://randomuser.me/api/portraits/men/96.jpg,domestic_violence|cyber_crime|consumer_rights
Fitan Deep,lukebehl@example.net,6442133392,"551, Parsa Marg, Navi Mumbai-686907",other,PhD in Law,22,3.77,15734,0.69,Legal Advisor,https://randomuser.me/api/portraits/women/48.jpg,property_dispute|FIR_denial|bribery_corruption
Anthony Solanki,fiyaz98@example.org,06722200485,"515, Nayar Road, Hazaribagh-231268",female,LLM,11,3.49,8369,0.51,Legal Advisor,https://randomuser.me/api/portraits/women/69.jpg,cyber_bullying|rent_eviction|consumer_rights
Damini Sami,oscar20@example.net,0067987384,"06/710, Bajaj Nagar, Unnao 342117",female,LLB,20,4.41,7515,0.86,Partner,https://randomuser.me/api/portraits/women/83.jpg,workplace_discrimination|bribery_corruption
Abeer Sem,manthanchaudry@example.org,05275040964,"26, Saini Ganj, Phusro 800602",female,PhD in Law,35,3.07,6870,0.72,Consultant,https://randomuser.me/api/portraits/women/31.jpg,cyber_bullying
Nihal Walla,udantiyengar@example.org,03801947542,"63/840, Jaggi Chowk, Surat-062042",female,LLM,28,3.28,15270,0.71,Partner,https://randomuser.me/api/portraits/women/59.jpg,consumer_rights
Yatan Buch,nbose@example.com,+911329974059,"45/41, Bandi Marg, Khandwa 842472",male,PhD in Law,8,3.2,2171,0.55,Senior Lawyer,https://randomuser.me/api/portraits/men/50.jpg,rent_eviction
Abhiram Mitra,amol94@example.net,0992321768,"062, Rau Path, Fatehpur-595250",male,PhD in Law,29,3.47,14697,0.66,Senior Lawyer,https://randomuser.me/api/portraits/men/68.jpg,dowry|domestic_violence
Urvashi Walia,chatreshdhingra@example.org,+919925383793,"H.No. 44, Chaudry Road, Pudukkottai-807071",other,PhD in Law,1,4.32,7116,0.86,Associate Lawyer,https://randomuser.me/api/portraits/women/5.jpg,dowry|bribery_corruption
Netra Soni,gaurangirau@example.com,5556206130,"19, Sharma Marg, Muzaffarnagar-378210",female,LLB,17,4.41,19447,0.5,Consultant,https://randomuser.me/api/portraits/women/17.jpg,child_custody|cyber_bullying|bribery_corruption
Nitara Comar,virkranveer@example.org,00771831627,"11, Biswas, Solapur 960670",male,LLM,34,4.7,13355,0.5,Senior Lawyer,https://randomuser.me/api/portraits/men/8.jpg,harassment
Luke Sule,hemangini07@example.net,+910229859712,"H.No. 49, Chatterjee Road, Bathinda-145825",male,Advocate,6,4.7,13695,0.86,Consultant,https://randomuser.me/api/portraits/men/59.jpg,cyber_bullying|dowry
Bina More,noriekiya@example.net,06764557260,"28, Dara Circle, Bulandshahr-508114",male,LLM,34,3.49,13348,0.93,Senior Lawyer,https://randomuser.me/api/portraits/men/74.jpg,FIR_denial|consumer_rights|property_dispute
Omaja Raja,bachittarkarnik@example.net,01277069850,"10/78, Puri Zila, Surat-655414",female,LLM,10,3.35,16803,0.84,Associate Lawyer,https://randomuser.me/api/portraits/women/85.jpg,cyber_crime
Tamanna Sangha,hvarghese@example.net,+918998327648,"71/32, Tandon Marg, Anantapuram-919381",male,LLB,14,4.43,15954,0.73,Consultant,https://randomuser.me/api/portraits/men/11.jpg,bribery_corruption|labor_rights_violation
Mason Keer,minhasmaanav@example.net,+913918903104,"640, Narang Zila, Ujjain-573073",male,PhD in Law,17,4.83,13219,0.96,Consultant,https://randomuser.me/api/portraits/men/13.jpg,dowry|cyber_bullying|child_custody
Indira Sahni,ekiya89@example.net,+912503435080,"H.No. 074, Mand Circle, Surendranagar Dudhrej-237664",other,LLB,27,3.35,15491,0.87,Legal Advisor,https://randomuser.me/api/portraits/women/10.jpg,cyber_bullying|domestic_violence
Dev Sama,garimanagarajan@example.org,01926588835,"H.No. 55, Sengupta Nagar, Hyderabad-573683",male,Advocate,32,3.8,15886,0.84,Legal Advisor,https://randomuser.me/api/portraits/men/23.jpg,harassment|cyber_crime|dowry
Pahal Sule,falgunisrivastava@example.net,1399355685,"266, Memon Road, Motihari-141749",male,Advocate,24,3.28,15959,0.55,Consultant,https://randomuser.me/api/portraits/men/23.jpg,domestic_violence|dowry
Amaira Som,vasatikabhatnagar@example.net,+912637080649,"40, Dutta Zila, Tiruppur 741233",other,Advocate,12,4.47,19927,0.9,Associate Lawyer,https://randomuser.me/api/portraits/women/13.jpg,domestic_violence|dowry
Libni Kumer,rayaanmital@example.org,+914224756355,"97/031, Chopra Chowk, Eluru 173086",male,Advocate,32,3.27,1922,0.71,Partner,https://randomuser.me/api/portraits/men/95.jpg,cyber_bullying|domestic_violence|consumer_rights
Aarav Varkey,saisen@example.org,05594981608,"618, Badami Ganj, Belgaum 245656",male,LLM,29,4.02,17780,0.56,Senior Lawyer,https://randomuser.me/api/portraits/men/45.jpg,child_custody|domestic_violence
Upma Jaggi,anyarattan@example.org,00105347336,"H.No. 44, Dugal Ganj, Asansol 566408",other,LLM,2,4.62,14231,0.94,Partner,https://randomuser.me/api/portraits/women/32.jpg,cyber_crime|rent_eviction|labor_rights_violation
Zayyan Dyal,ekanshvaidya@example.net,05538444275,"447, Narain Road, Ambarnath-118302",male,Senior Advocate,32,3.38,15823,0.8,Associate Lawyer,https://randomuser.me/api/portraits/men/68.jpg,dowry
Falak Banerjee,rbains@example.com,5305672154,"82/016, Merchant, Bhopal 321066",female,PhD in Law,9,4.72,5084,0.75,Partner,https://randomuser.me/api/portraits/women/60.jpg,cyber_bullying|child_custody|cyber_crime
Sai Chaudhry,varughesetheodore@example.org,+918181100739,"04, Korpal Chowk, Gwalior-022425",other,LLB,38,4.89,16853,0.65,Legal Advisor,https://randomuser.me/api/portraits/women/84.jpg,property_dispute|cyber_bullying
Abhiram Palla,dharbakhshi@example.net,01475385605,"H.No. 11, Tailor Nagar, Adoni 029519",female,LLM,39,3.89,7666,0.96,Legal Advisor,https://randomuser.me/api/portraits/women/16.jpg,workplace_discrimination
Peter Parsa,xramanathan@example.org,8989090711,"H.No. 72, Nagar Ganj, Rohtak 270924",other,LLB,16,4.7,8424,0.67,Consultant,https://randomuser.me/api/portraits/women/41.jpg,dowry|property_dispute|bribery_corruption
Brinda Kashyap,tanishkalita@example.net,09688880178,"43/92, Varma Ganj, Rampur-288644",male,LLM,3,4.28,11469,0.76,Legal Advisor,https://randomuser.me/api/portraits/men/86.jpg,cyber_bullying
Yadavi Mani,pillainilima@example.net,+911292366541,"74/889, Atwal Zila, Shahjahanpur-775401",other,Senior Advocate,9,3.63,1229,0.69,Legal Advisor,https://randomuser.me/api/portraits/women/80.jpg,child_custody|property_dispute|bribery_corruption
Darsh Bhattacharyya,kabirmemon@example.net,08386711386,"H.No. 90, Ben Road, Surendranagar Dudhrej 272685",other,PhD in Law,32,4.96,1244,0.77,Legal Advisor,https://randomuser.me/api/portraits/women/50.jpg,labor_rights_violation|dowry|cyber_bullying
Guneet Dar,ghayer@example.org,07641444951,"36, Rattan Path, Asansol 629865",other,PhD in Law,26,3.35,12707,0.92,Senior Lawyer,https://randomuser.me/api/portraits/women/64.jpg,FIR_denial|property_dispute|cyber_bullying
Champak Johal,qasim89@example.org,0077440928,"65/423, Nadig Street, Purnia-761520",other,PhD in Law,5,4.82,16094,0.98,Legal Advisor,https://randomuser.me/api/portraits/women/1.jpg,dowry
Sanya Raghavan,jbassi@example.net,01304908106,"010, Brahmbhatt Circle, Anantapur-626795",other,Advocate,1,4.11,3695,0.96,Associate Lawyer,https://randomuser.me/api/portraits/women/41.jpg,consumer_rights|cyber_bullying|property_dispute
Yochana Kala,yagnesh63@example.net,6792996770,"H.No. 940, Butala Road, Ongole 548556",male,LLM,13,4.5,17548,0.95,Senior Lawyer,https://randomuser.me/api/portraits/men/46.jpg,property_dispute
Oeshi Kunda,bina72@example.com,4160292775,"06/356, Yohannan Zila, Bhalswa Jahangir Pur-706860",male,Advocate,16,4.15,10038,0.71,Legal Advisor,https://randomuser.me/api/portraits/men/36.jpg,workplace_discrimination|cyber_crime
Qadim Chadha,wkara@example.org,06670177315,"36/76, Mallick Circle, Anand-972375",male,Senior Advocate,19,3.11,18122,0.92,Senior Lawyer,https://randomuser.me/api/portraits/men/44.jpg,rent_eviction|workplace_discrimination|child_custody
Advaith Karan,amangat@example.com,08788268676,"H.No. 94, Swamy, Rourkela 968989",male,Advocate,29,3.51,11368,0.78,Consultant,https://randomuser.me/api/portraits/men/31.jpg,property_dispute
Idika Lanka,joshuamangal@example.org,2943901861,"H.No. 16, Prakash, Nanded-554976",other,Advocate,17,3.85,4064,0.99,Senior Lawyer,https://randomuser.me/api/portraits/women/90.jpg,cyber_bullying|labor_rights_violation
Abhimanyu Sarna,kothariyauvani@example.com,01514112226,"86/13, Sandal Street, Ahmednagar-097645",male,Advocate,38,4.74,8238,0.75,Associate Lawyer,https://randomuser.me/api/portraits/men/59.jpg,harassment|consumer_rights|domestic_violence
Guneet Kurian,osha59@example.net,+913227487145,"58, Lanka Nagar, Darbhanga-697704",female,Senior Advocate,15,3.1,9132,0.6,Senior Lawyer,https://randomuser.me/api/portraits/women/17.jpg,workplace_discrimination|cyber_bullying|domestic_violence
Kashish Chakrabarti,patrickbal@example.org,+914577424444,"480, Garde Road, Parbhani-572221",female,Senior Advocate,35,4.29,6245,0.87,Senior Lawyer,https://randomuser.me/api/portraits/women/74.jpg,FIR_denial
Jairaj Keer,purohitgaurav@example.net,1252972957,"20/93, Kunda Circle, Anantapur 605536",male,LLB,1,4.89,14921,0.67,Partner,https://randomuser.me/api/portraits/men/5.jpg,bribery_corruption|domestic_violence
Nihal Prasad,shahsai@example.com,02573718886,"343, Babu Marg, Varanasi-807786",male,LLM,32,4.5,5774,0.97,Legal Advisor,https://randomuser.me/api/portraits/men/40.jpg,labor_rights_violation|harassment|dowry
Daksha Pau,harsh16@example.com,04986549998,"33/28, Karnik Street, Panchkula 451161",male,LLM,31,4.23,9128,0.99,Senior Lawyer,https://randomuser.me/api/portraits/men/22.jpg,property_dispute|labor_rights_violation|harassment
Ubika Jayaraman,nirja86@example.com,+912557316791,"H.No. 051, Vyas Marg, Visakhapatnam-100772",other,Advocate,35,3.96,11503,0.63,Senior Lawyer,https://randomuser.me/api/portraits/women/91.jpg,FIR_denial|dowry
Rachana Nadig,irabobal@example.com,02595327948,"24/977, Bhat, Ajmer 586634",male,LLB,26,4.92,9048,0.68,Legal Advisor,https://randomuser.me/api/portraits/men/7.jpg,domestic_violence|harassment
Anirudh Aggarwal,chanchaldada@example.org,3093966063,"67/72, Verma Path, Udaipur 271433",other,LLM,25,3.15,8963,0.72,Associate Lawyer,https://randomuser.me/api/portraits/women/73.jpg,child_custody|bribery_corruption
Leena Badami,jpadmanabhan@example.net,00606519737,"04/14, Barad Ganj, Amravati 091223",female,LLB,7,3.18,19395,0.63,Partner,https://randomuser.me/api/portraits/women/96.jpg,harassment
Ekansh Varghese,wkale@example.com,04629818071,"04/779, Koshy Zila, Hapur-078500",male,LLM,14,3.13,4028,0.61,Partner,https://randomuser.me/api/portraits/men/33.jpg,workplace_discrimination|consumer_rights|cyber_crime
Vamakshi Sama,vedantsaxena@example.com,5805155008,"84, Dugar Path, Unnao 810194",male,Advocate,19,4.46,9192,0.57,Associate Lawyer,https://randomuser.me/api/portraits/men/43.jpg,consumer_rights|cyber_bullying
Chatura Kamdar,mdewan@example.org,8724580332,"39/82, Choudhury Chowk, Siwan 857019",other,Advocate,15,3.88,4875,0.74,Partner,https://randomuser.me/api/portraits/women/20.jpg,harassment|cyber_crime|workplace_discrimination
Wahab Bhardwaj,bbhatia@example.com,06771948686,"56/608, Bava Ganj, Latur-968066",other,LLB,2,3.89,12446,0.99,Consultant,https://randomuser.me/api/portraits/women/95.jpg,domestic_violence|cyber_bullying
Zinal Mammen,katajackson@example.org,+914805135352,"H.No. 94, Amble Ganj, Kolkata 568794",other,LLM,25,3.04,15842,0.58,Consultant,https://randomuser.me/api/portraits/women/92.jpg,child_custody|workplace_discrimination|labor_rights_violation
Chavvi Bala,srajan@example.com,04645631426,"720, Verma Marg, Parbhani-108616",male,LLB,26,4.7,17068,0.54,Legal Advisor,https://randomuser.me/api/portraits/men/2.jpg,FIR_denial
Omisha Natt,hredhaanmukhopadhyay@example.net,7500443522,"H.No. 161, Malhotra Path, Begusarai-570384",female,PhD in Law,1,4.07,8383,0.95,Consultant,https://randomuser.me/api/portraits/women/1.jpg,FIR_denial|property_dispute
Kashish Mangat,anamika88@example.org,+914282874959,"80, Arya Nagar, Korba-339340",female,PhD in Law,33,4.69,14242,0.64,Consultant,https://randomuser.me/api/portraits/women/92.jpg,FIR_denial|consumer_rights
Rajata Luthra,behleiravati@example.net,02379351159,"493, Brahmbhatt Marg, Rewa-320909",male,PhD in Law,17,4.16,16509,0.85,Consultant,https://randomuser.me/api/portraits/men/20.jpg,property_dispute|bribery_corruption|cyber_bullying
Chanchal Parsa,cmaharaj@example.org,+913128755342,"H.No. 840, Batta Circle, Dharmavaram-410222",female,LLM,18,4.87,18554,0.73,Senior Lawyer,https://randomuser.me/api/portraits/women/19.jpg,rent_eviction
Ekanta Borra,xborah@example.net,6561729896,"93, Natt Ganj, Dhule-655563",male,LLM,19,4.13,4277,0.74,Partner,https://randomuser.me/api/portraits/men/69.jpg,child_custody|dowry|domestic_violence
Niharika Minhas,deshmukhwakeeta@example.net,8715545718,"H.No. 011, Pandya Path, Karaikudi-325053",male,LLB,9,4.82,6046,0.83,Senior Lawyer,https://randomuser.me/api/portraits/men/46.jpg,FIR_denial
Darpan Nagarajan,vbhatti@example.com,1549432795,"19/131, Sarma Ganj, Sangli-Miraj & Kupwad 085532",male,Senior Advocate,9,4.11,17943,0.72,Associate Lawyer,https://randomuser.me/api/portraits/men/13.jpg,cyber_bullying
Nachiket Bedi,fiyazdeshpande@example.org,0481129746,"46/139, Sagar Ganj, Avadi 969133",female,LLM,36,4.57,13172,0.83,Associate Lawyer,https://randomuser.me/api/portraits/women/41.jpg,domestic_violence
Veda Srinivas,william90@example.com,7655266561,"91/97, Rajagopal, Vadodara 484043",female,LLB,22,3.59,12703,0.93,Partner,https://randomuser.me/api/portraits/women/99.jpg,cyber_crime|workplace_discrimination|child_custody
Kavya Comar,gdoctor@example.com,+919741600098,"15/82, Kala Street, Bathinda 778987",other,LLB,14,4.97,9654,0.98,Partner,https://randomuser.me/api/portraits/women/55.jpg,property_dispute
Devansh Sule,saanvisha@example.net,05514743153,"05/173, Sant Ganj, Jalgaon-261954",other,LLM,13,3.46,10605,0.51,Partner,https://randomuser.me/api/portraits/women/34.jpg,FIR_denial|bribery_corruption|labor_rights_violation
Frado Soman,jtak@example.org,+914381623250,"23/87, Reddy Ganj, Chandigarh 821036",male,LLB,25,4.33,2096,0.68,Partner,https://randomuser.me/api/portraits/men/96.jpg,property_dispute|workplace_discrimination
Inaya Chadha,ayaan59@example.org,03745912361,"H.No. 85, Batta, Gorakhpur 344312",female,Advocate,1,4.37,15348,0.53,Consultant,https://randomuser.me/api/portraits/women/83.jpg,child_custody
Yashodhara Sastry,neha70@example.org,8369177731,"499, Prasad Zila, Raiganj-074922",other,LLB,33,3.18,14328,0.89,Associate Lawyer,https://randomuser.me/api/portraits/women/93.jpg,cyber_bullying|dowry|FIR_denial
Yadavi Shah,darpandhingra@example.com,+919952297352,"36/69, Choudhry Chowk, Chandigarh-348708",male,LLB,5,3.83,3838,0.92,Legal Advisor,https://randomuser.me/api/portraits/men/79.jpg,labor_rights_violation|rent_eviction
Aarnav Anand,upma10@example.net,+917664299126,"11/572, Gola Road, Tiruppur-036381",male,Advocate,25,3.08,16518,0.77,Partner,https://randomuser.me/api/portraits/men/91.jpg,workplace_discrimination|dowry
Avi Chahal,sagarosha@example.org,+919603538146,"240, Sha Chowk, Pallavaram 763081",male,Advocate,24,3.93,12942,0.55,Associate Lawyer,https://randomuser.me/api/portraits/men/38.jpg,cyber_crime
Saumya Shanker,thomas03@example.net,8256389537,"389, Wali Street, Latur 432192",male,PhD in Law,17,3.07,19800,0.7,Senior Lawyer,https://randomuser.me/api/portraits/men/23.jpg,workplace_discrimination|child_custody|rent_eviction
Ekavir Yogi,sgole@example.org,+918072134091,"39/879, Boase Chowk, Bihar Sharif-964519",female,Advocate,5,4.3,7418,0.62,Partner,https://randomuser.me/api/portraits/women/66.jpg,rent_eviction
Liam Shukla,inanda@example.org,+911136070060,"H.No. 653, Bhat Nagar, Chennai-430771",other,Advocate,31,3.46,5954,0.6,Consultant,https://randomuser.me/api/portraits/women/67.jpg,harassment|cyber_bullying
Mekhala Menon,xyohannan@example.org,+916024889937,"487, Hora Nagar, Rourkela-708657",male,LLM,14,4.3,7274,0.53,Associate Lawyer,https://randomuser.me/api/portraits/men/3.jpg,harassment|bribery_corruption
Chaman Mall,kalebanjeet@example.net,02064546263,"H.No. 15, Loke Ganj, Bhilwara-792145",other,LLM,18,4.61,1809,0.56,Consultant,https://randomuser.me/api/portraits/women/87.jpg,bribery_corruption|labor_rights_violation
Pooja Mandal,harinakshibose@example.org,+917962770868,"18/437, Pai Circle, Bhalswa Jahangir Pur-853798",female,Senior Advocate,28,4.32,6340,0.52,Partner,https://randomuser.me/api/portraits/women/50.jpg,child_custody|bribery_corruption
Saanvi Magar,azaan10@example.org,+917191093635,"702, Goswami, Medininagar 203766",female,Senior Advocate,19,3.63,8472,0.6,Partner,https://randomuser.me/api/portraits/women/48.jpg,dowry|child_custody
